Idx 1; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 100.00 | LM Acc: 100.00 | TT Acc: 100.00
Idx 2; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 100.00 | TT Acc: 100.00
Idx 3; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 66.67 | LM Acc: 100.00 | TT Acc: 100.00
Idx 4; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 100.00 | TT Acc: 100.00
Idx 5; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 40.00 | LM Acc: 80.00 | TT Acc: 80.00
Idx 6; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 83.33 | TT Acc: 83.33
Idx 7; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 57.14 | LM Acc: 85.71 | TT Acc: 85.71
Idx 8; By LM; LR Iter0 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 87.50 | TT Acc: 87.50
Idx 9; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 55.56 | LM Acc: 88.89 | TT Acc: 88.89
Idx 10; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 90.00 | TT Acc: 90.00
Idx 11; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.00; LR Acc: 0.00 | BT Acc: 54.55 | LM Acc: 90.91 | TT Acc: 90.91
Idx 12; By BT; LR Iter1 %: 0.00; BT Iter0 %: 0.08; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 90.91 | TT Acc: 83.33
Idx 13; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.08; LR Acc: 0.00 | BT Acc: 46.15 | LM Acc: 91.67 | TT Acc: 84.62
Idx 14; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.07; LR Acc: 0.00 | BT Acc: 50.00 | LM Acc: 92.31 | TT Acc: 85.71
Idx 15; By BT; LR Iter1 %: 0.00; BT Iter0 %: 0.13; LR Acc: 0.00 | BT Acc: 53.33 | LM Acc: 92.31 | TT Acc: 86.67
Idx 16; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.12; LR Acc: 0.00 | BT Acc: 56.25 | LM Acc: 85.71 | TT Acc: 81.25
Idx 17; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.12; LR Acc: 0.00 | BT Acc: 52.94 | LM Acc: 86.67 | TT Acc: 82.35
Idx 18; By LM; LR Iter1 %: 0.00; BT Iter0 %: 0.11; LR Acc: 0.00 | BT Acc: 55.56 | LM Acc: 87.50 | TT Acc: 83.33
Idx 19; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.11; LR Acc: 0.00 | BT Acc: 57.89 | LM Acc: 88.24 | TT Acc: 84.21
Idx 20; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.10; LR Acc: 0.00 | BT Acc: 55.00 | LM Acc: 88.89 | TT Acc: 85.00
Idx 21; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.10; LR Acc: 4.76 | BT Acc: 52.38 | LM Acc: 89.47 | TT Acc: 85.71
Idx 22; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.09; LR Acc: 9.09 | BT Acc: 50.00 | LM Acc: 90.00 | TT Acc: 86.36
Idx 23; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.09; LR Acc: 13.04 | BT Acc: 47.83 | LM Acc: 85.71 | TT Acc: 82.61
Idx 24; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.08; LR Acc: 16.67 | BT Acc: 45.83 | LM Acc: 86.36 | TT Acc: 83.33
Idx 25; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.08; LR Acc: 16.00 | BT Acc: 48.00 | LM Acc: 86.96 | TT Acc: 84.00
Idx 26; By LM; LR Iter2 %: 0.00; BT Iter0 %: 0.08; LR Acc: 19.23 | BT Acc: 46.15 | LM Acc: 87.50 | TT Acc: 84.62
Idx 27; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.07; LR Acc: 22.22 | BT Acc: 48.15 | LM Acc: 88.00 | TT Acc: 85.19
Idx 28; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.07; LR Acc: 25.00 | BT Acc: 46.43 | LM Acc: 88.46 | TT Acc: 85.71
Idx 29; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.07; LR Acc: 27.59 | BT Acc: 48.28 | LM Acc: 88.89 | TT Acc: 86.21
Idx 30; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.07; LR Acc: 30.00 | BT Acc: 46.67 | LM Acc: 89.29 | TT Acc: 86.67
Idx 31; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.06; LR Acc: 29.03 | BT Acc: 48.39 | LM Acc: 89.66 | TT Acc: 87.10
Idx 32; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.06; LR Acc: 28.12 | BT Acc: 50.00 | LM Acc: 90.00 | TT Acc: 87.50
Idx 33; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.06; LR Acc: 27.27 | BT Acc: 51.52 | LM Acc: 87.10 | TT Acc: 84.85
Idx 34; By LM; LR Iter3 %: 0.00; BT Iter0 %: 0.06; LR Acc: 29.41 | BT Acc: 50.00 | LM Acc: 87.50 | TT Acc: 85.29
Idx 35; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.06; LR Acc: 31.43 | BT Acc: 48.57 | LM Acc: 87.88 | TT Acc: 85.71
Idx 36; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.06; LR Acc: 30.56 | BT Acc: 50.00 | LM Acc: 88.24 | TT Acc: 86.11
Idx 37; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 32.43 | BT Acc: 48.65 | LM Acc: 88.57 | TT Acc: 86.49
Idx 38; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 34.21 | BT Acc: 47.37 | LM Acc: 88.89 | TT Acc: 86.84
Idx 39; By LM; LR Iter4 %: 0.00; BT Iter1 %: 0.05; LR Acc: 35.90 | BT Acc: 48.72 | LM Acc: 89.19 | TT Acc: 87.18
